Iteration,Solver,Objective,Violations
279,Hill Climbing,22,0
280,Hill Climbing,22,0
281,Hill Climbing,22,0
282,Hill Climbing,22,0
283,Hill Climbing,22,0
284,Hill Climbing,22,0
285,Hill Climbing,22,0
286,Hill Climbing,22,0
287,Hill Climbing,22,0
288,Hill Climbing,22,0
289,Hill Climbing,22,0
290,Hill Climbing,22,0
291,Hill Climbing,22,0
292,Hill Climbing,22,0
293,Hill Climbing,22,0
294,Hill Climbing,22,0
295,Hill Climbing,22,0
296,Hill Climbing,22,0
297,Hill Climbing,22,0
298,Hill Climbing,22,0
299,Hill Climbing,22,0
300,Hill Climbing,22,0
301,Hill Climbing,22,0
302,Hill Climbing,22,0
303,Hill Climbing,22,0
304,Hill Climbing,22,0
305,Hill Climbing,22,0
306,Hill Climbing,22,0
307,Hill Climbing,22,0
308,Hill Climbing,22,0
309,Hill Climbing,22,0
310,Hill Climbing,22,0
311,Hill Climbing,22,0
312,Hill Climbing,22,0
313,Hill Climbing,22,0
314,Hill Climbing,22,0
315,Hill Climbing,22,0
316,Hill Climbing,22,0
317,Hill Climbing,22,0
318,Hill Climbing,22,0
319,Hill Climbing,22,0
320,Hill Climbing,22,0
321,Hill Climbing,22,0
322,Hill Climbing,22,0
323,Hill Climbing,22,0
324,Hill Climbing,22,0
325,Hill Climbing,22,0
326,Hill Climbing,21,0
327,Hill Climbing,21,0
328,Hill Climbing,21,0
329,Hill Climbing,21,0
330,Hill Climbing,21,0
331,Hill Climbing,21,0
332,Hill Climbing,21,0
333,Hill Climbing,21,0
334,Hill Climbing,21,0
335,Hill Climbing,21,0
336,Hill Climbing,21,0
337,Hill Climbing,21,0
338,Hill Climbing,21,0
339,Hill Climbing,21,0
340,Hill Climbing,21,0
341,Hill Climbing,21,0
342,Hill Climbing,21,0
343,Hill Climbing,21,0
344,Hill Climbing,21,0
345,Hill Climbing,21,0
346,Hill Climbing,21,0
347,Hill Climbing,21,0
348,Hill Climbing,21,0
349,Hill Climbing,21,0
350,Hill Climbing,21,0
351,Hill Climbing,21,0
352,Hill Climbing,21,0
353,Hill Climbing,21,0
354,Hill Climbing,21,0
355,Hill Climbing,21,0
356,Hill Climbing,21,0
357,Hill Climbing,21,0
358,Hill Climbing,21,0
359,Hill Climbing,21,0
360,Hill Climbing,21,0
361,Hill Climbing,21,0
362,Hill Climbing,21,0
363,Hill Climbing,21,0
364,Hill Climbing,21,0
365,Hill Climbing,21,0
366,Hill Climbing,21,0
367,Hill Climbing,21,0
368,Hill Climbing,21,0
369,Hill Climbing,21,0
370,Hill Climbing,21,0
371,Hill Climbing,21,0
372,Hill Climbing,21,0
373,Hill Climbing,21,0
374,Hill Climbing,21,0
375,Hill Climbing,21,0
376,Hill Climbing,21,0
377,Hill Climbing,21,0
378,Hill Climbing,21,0
379,Hill Climbing,21,0
380,Hill Climbing,21,0
381,Hill Climbing,21,0
382,Hill Climbing,21,0
383,Hill Climbing,21,0
384,Hill Climbing,21,0
385,Hill Climbing,21,0
386,Hill Climbing,21,0
387,Hill Climbing,21,0
388,Hill Climbing,21,0
389,Hill Climbing,21,0
390,Hill Climbing,21,0
391,Hill Climbing,21,0
392,Hill Climbing,21,0
393,Hill Climbing,21,0
394,Hill Climbing,21,0
395,Hill Climbing,21,0
396,Hill Climbing,21,0
397,Hill Climbing,21,0
398,Hill Climbing,21,0
399,Hill Climbing,21,0
400,Hill Climbing,21,0
401,Hill Climbing,21,0
402,Hill Climbing,21,0
403,Hill Climbing,21,0
404,Hill Climbing,21,0
405,Hill Climbing,21,0
406,Hill Climbing,21,0
407,Hill Climbing,21,0
408,Hill Climbing,21,0
409,Hill Climbing,21,0
410,Hill Climbing,20,0
411,Hill Climbing,20,0
412,Hill Climbing,20,0
413,Hill Climbing,20,0
414,Hill Climbing,20,0
415,Hill Climbing,20,0
416,Hill Climbing,20,0
417,Hill Climbing,20,0
418,Hill Climbing,20,0
419,Hill Climbing,20,0
420,Hill Climbing,20,0
421,Hill Climbing,20,0
422,Hill Climbing,20,0
423,Hill Climbing,20,0
424,Hill Climbing,20,0
425,Hill Climbing,20,0
426,Hill Climbing,20,0
427,Hill Climbing,20,0
428,Hill Climbing,20,0
429,Hill Climbing,20,0
430,Hill Climbing,20,0
431,Hill Climbing,20,0
432,Hill Climbing,20,0
433,Hill Climbing,20,0
434,Hill Climbing,20,0
435,Hill Climbing,20,0
436,Hill Climbing,20,0
437,Hill Climbing,20,0
438,Hill Climbing,20,0
439,Hill Climbing,20,0
440,Hill Climbing,20,0
441,Hill Climbing,20,0
442,Hill Climbing,20,0
443,Hill Climbing,20,0
444,Hill Climbing,20,0
445,Hill Climbing,20,0
446,Hill Climbing,20,0
447,Hill Climbing,20,0
448,Hill Climbing,20,0
449,Hill Climbing,20,0
450,Hill Climbing,20,0
451,Hill Climbing,20,0
452,Hill Climbing,20,0
453,Hill Climbing,20,0
454,Hill Climbing,20,0
455,Hill Climbing,20,0
456,Hill Climbing,20,0
457,Hill Climbing,20,0
458,Hill Climbing,20,0
459,Hill Climbing,20,0
460,Hill Climbing,20,0
461,Hill Climbing,20,0
462,Hill Climbing,20,0
463,Hill Climbing,20,0
464,Hill Climbing,20,0
465,Hill Climbing,20,0
466,Hill Climbing,20,0
467,Hill Climbing,20,0
468,Hill Climbing,20,0
469,Hill Climbing,20,0
470,Hill Climbing,20,0
471,Hill Climbing,20,0
472,Hill Climbing,20,0
473,Hill Climbing,20,0
474,Hill Climbing,20,0
475,Hill Climbing,20,0
476,Hill Climbing,20,0
477,Hill Climbing,20,0
478,Hill Climbing,20,0
479,Hill Climbing,20,0
480,Hill Climbing,20,0
481,Hill Climbing,20,0
482,Hill Climbing,20,0
483,Hill Climbing,20,0
484,Hill Climbing,20,0
485,Hill Climbing,20,0
486,Hill Climbing,20,0
487,Hill Climbing,20,0
488,Hill Climbing,20,0
489,Hill Climbing,20,0
490,Hill Climbing,20,0
491,Hill Climbing,20,0
492,Hill Climbing,20,0
493,Hill Climbing,20,0
494,Hill Climbing,20,0
495,Hill Climbing,20,0
496,Hill Climbing,20,0
497,Hill Climbing,20,0
498,Hill Climbing,20,0
499,Hill Climbing,20,0
500,Hill Climbing,20,0
501,Hill Climbing,20,0
502,Hill Climbing,20,0
503,Hill Climbing,20,0
504,Hill Climbing,20,0
505,Hill Climbing,20,0
506,Hill Climbing,20,0
507,Hill Climbing,20,0
508,Hill Climbing,20,0
509,Hill Climbing,20,0
510,Hill Climbing,20,0
511,Hill Climbing,20,0
512,Hill Climbing,20,0
513,Hill Climbing,20,0
514,Hill Climbing,19,0
515,Hill Climbing,19,0
516,Hill Climbing,19,0
517,Hill Climbing,19,0
518,Hill Climbing,19,0
519,Hill Climbing,19,0
520,Hill Climbing,19,0
521,Hill Climbing,19,0
522,Hill Climbing,19,0
523,Hill Climbing,19,0
524,Hill Climbing,19,0
525,Hill Climbing,19,0
526,Hill Climbing,19,0
527,Hill Climbing,19,0
528,Hill Climbing,19,0
529,Hill Climbing,19,0
530,Hill Climbing,19,0
531,Hill Climbing,19,0
532,Hill Climbing,19,0
533,Hill Climbing,19,0
534,Hill Climbing,19,0
535,Hill Climbing,19,0
536,Hill Climbing,19,0
537,Hill Climbing,19,0
538,Hill Climbing,19,0
539,Hill Climbing,19,0
540,Hill Climbing,19,0
541,Hill Climbing,19,0
542,Hill Climbing,19,0
543,Hill Climbing,19,0
544,Hill Climbing,19,0
545,Hill Climbing,19,0
546,Hill Climbing,19,0
547,Hill Climbing,19,0
548,Hill Climbing,19,0
549,Hill Climbing,19,0
550,Hill Climbing,19,0
551,Hill Climbing,19,0
552,Hill Climbing,19,0
553,Hill Climbing,19,0
554,Hill Climbing,19,0
555,Hill Climbing,19,0
556,Hill Climbing,19,0
557,Hill Climbing,19,0
558,Hill Climbing,19,0
559,Hill Climbing,19,0
560,Hill Climbing,19,0
561,Hill Climbing,19,0
562,Hill Climbing,19,0
563,Hill Climbing,19,0
564,Hill Climbing,19,0
565,Hill Climbing,19,0
566,Hill Climbing,19,0
567,Hill Climbing,19,0
568,Hill Climbing,19,0
569,Hill Climbing,19,0
570,Hill Climbing,19,0
571,Hill Climbing,19,0
572,Hill Climbing,19,0
573,Hill Climbing,19,0
574,Hill Climbing,19,0
575,Hill Climbing,19,0
576,Hill Climbing,19,0
577,Hill Climbing,19,0
578,Hill Climbing,19,0
579,Hill Climbing,19,0
580,Hill Climbing,19,0
581,Hill Climbing,19,0
582,Hill Climbing,19,0
583,Hill Climbing,19,0
584,Hill Climbing,19,0
585,Hill Climbing,19,0
586,Hill Climbing,19,0
587,Hill Climbing,19,0
588,Hill Climbing,19,0
589,Hill Climbing,19,0
590,Hill Climbing,19,0
591,Hill Climbing,19,0
592,Hill Climbing,19,0
593,Hill Climbing,19,0
594,Hill Climbing,19,0
595,Hill Climbing,19,0
596,Hill Climbing,19,0
597,Hill Climbing,19,0
598,Hill Climbing,19,0
599,Hill Climbing,19,0
600,Hill Climbing,19,0
601,Hill Climbing,19,0
602,Hill Climbing,19,0
603,Hill Climbing,19,0
604,Hill Climbing,19,0
605,Hill Climbing,19,0
606,Hill Climbing,19,0
607,Hill Climbing,19,0
608,Hill Climbing,19,0
609,Hill Climbing,19,0
610,Hill Climbing,19,0
611,Hill Climbing,19,0
612,Hill Climbing,19,0
613,Hill Climbing,19,0
614,Hill Climbing,19,0
615,Hill Climbing,19,0
616,Hill Climbing,19,0
617,Hill Climbing,19,0
618,Hill Climbing,19,0
619,Hill Climbing,19,0
620,Hill Climbing,19,0
621,Hill Climbing,19,0
622,Hill Climbing,19,0
623,Hill Climbing,19,0
624,Hill Climbing,19,0
625,Hill Climbing,19,0
626,Hill Climbing,19,0
627,Hill Climbing,19,0
628,Hill Climbing,19,0
629,Hill Climbing,19,0
630,Hill Climbing,19,0
631,Hill Climbing,19,0
632,Hill Climbing,19,0
633,Hill Climbing,19,0
634,Hill Climbing,19,0
635,Hill Climbing,19,0
636,Hill Climbing,19,0
637,Hill Climbing,19,0
638,Hill Climbing,19,0
639,Hill Climbing,19,0
640,Hill Climbing,19,0
641,Hill Climbing,19,0
642,Hill Climbing,19,0
643,Hill Climbing,19,0
644,Hill Climbing,18,0
645,Hill Climbing,18,0
646,Hill Climbing,18,0
647,Hill Climbing,18,0
648,Hill Climbing,18,0
649,Hill Climbing,18,0
650,Hill Climbing,18,0
651,Hill Climbing,18,0
652,Hill Climbing,18,0
653,Hill Climbing,18,0
654,Hill Climbing,18,0
655,Hill Climbing,18,0
656,Hill Climbing,18,0
657,Hill Climbing,18,0
658,Hill Climbing,18,0
659,Hill Climbing,18,0
660,Hill Climbing,18,0
661,Hill Climbing,18,0
662,Hill Climbing,18,0
663,Hill Climbing,18,0
664,Hill Climbing,18,0
665,Hill Climbing,18,0
666,Hill Climbing,18,0
667,Hill Climbing,18,0
668,Hill Climbing,18,0
669,Hill Climbing,18,0
670,Hill Climbing,18,0
671,Hill Climbing,18,0
672,Hill Climbing,18,0
673,Hill Climbing,18,0
674,Hill Climbing,18,0
675,Hill Climbing,18,0
676,Hill Climbing,18,0
677,Hill Climbing,18,0
678,Hill Climbing,18,0
679,Hill Climbing,18,0
680,Hill Climbing,18,0
681,Hill Climbing,18,0
682,Hill Climbing,18,0
683,Hill Climbing,18,0
684,Hill Climbing,18,0
685,Hill Climbing,18,0
686,Hill Climbing,18,0
687,Hill Climbing,18,0
688,Hill Climbing,18,0
689,Hill Climbing,18,0
690,Hill Climbing,18,0
691,Hill Climbing,18,0
692,Hill Climbing,18,0
693,Hill Climbing,18,0
694,Hill Climbing,18,0
695,Hill Climbing,18,0
696,Hill Climbing,18,0
697,Hill Climbing,18,0
698,Hill Climbing,18,0
699,Hill Climbing,18,0
700,Hill Climbing,18,0
701,Hill Climbing,18,0
702,Hill Climbing,18,0
703,Hill Climbing,18,0
704,Hill Climbing,18,0
705,Hill Climbing,18,0
706,Hill Climbing,18,0
707,Hill Climbing,18,0
708,Hill Climbing,18,0
709,Hill Climbing,18,0
710,Hill Climbing,18,0
711,Hill Climbing,18,0
712,Hill Climbing,18,0
713,Hill Climbing,18,0
714,Hill Climbing,18,0
715,Hill Climbing,18,0
716,Hill Climbing,18,0
717,Hill Climbing,18,0
718,Hill Climbing,18,0
719,Hill Climbing,18,0
720,Hill Climbing,18,0
721,Hill Climbing,18,0
722,Hill Climbing,18,0
723,Hill Climbing,18,0
724,Hill Climbing,18,0
725,Hill Climbing,18,0
726,Hill Climbing,18,0
727,Hill Climbing,18,0
728,Hill Climbing,18,0
729,Hill Climbing,18,0
730,Hill Climbing,18,0
731,Hill Climbing,18,0
732,Hill Climbing,18,0
733,Hill Climbing,18,0
734,Hill Climbing,18,0
735,Hill Climbing,18,0
736,Hill Climbing,18,0
737,Hill Climbing,18,0
738,Hill Climbing,18,0
739,Hill Climbing,18,0
740,Hill Climbing,18,0
741,Hill Climbing,18,0
742,Hill Climbing,18,0
743,Hill Climbing,18,0
744,Hill Climbing,18,0
745,Hill Climbing,18,0
746,Hill Climbing,18,0
747,Hill Climbing,18,0
748,Hill Climbing,18,0
749,Hill Climbing,18,0
750,Hill Climbing,18,0
751,Hill Climbing,18,0
752,Hill Climbing,18,0
753,Hill Climbing,18,0
754,Hill Climbing,18,0
755,Hill Climbing,18,0
756,Hill Climbing,18,0
757,Hill Climbing,18,0
758,Hill Climbing,18,0
759,Hill Climbing,18,0
760,Hill Climbing,18,0
761,Hill Climbing,18,0
762,Hill Climbing,18,0
763,Hill Climbing,18,0
764,Hill Climbing,18,0
765,Hill Climbing,18,0
766,Hill Climbing,18,0
767,Hill Climbing,18,0
768,Hill Climbing,18,0
769,Hill Climbing,18,0
770,Hill Climbing,18,0
771,Hill Climbing,18,0
772,Hill Climbing,18,0
773,Hill Climbing,18,0
774,Hill Climbing,18,0
775,Hill Climbing,18,0
776,Hill Climbing,18,0
777,Hill Climbing,18,0
778,Hill Climbing,18,0
779,Hill Climbing,18,0
780,Hill Climbing,18,0
781,Hill Climbing,18,0
782,Hill Climbing,18,0
783,Hill Climbing,18,0
784,Hill Climbing,18,0
785,Hill Climbing,18,0
786,Hill Climbing,18,0
787,Hill Climbing,18,0
788,Hill Climbing,18,0
789,Hill Climbing,18,0
790,Hill Climbing,18,0
791,Hill Climbing,18,0
792,Hill Climbing,18,0
793,Hill Climbing,18,0
794,Hill Climbing,18,0
795,Hill Climbing,17,0
796,Hill Climbing,17,0
797,Hill Climbing,17,0
798,Hill Climbing,17,0
799,Hill Climbing,17,0
800,Hill Climbing,17,0
801,Hill Climbing,17,0
802,Hill Climbing,17,0
803,Hill Climbing,17,0
804,Hill Climbing,17,0
805,Hill Climbing,17,0
806,Hill Climbing,17,0
807,Hill Climbing,17,0
808,Hill Climbing,17,0
809,Hill Climbing,17,0
810,Hill Climbing,17,0
811,Hill Climbing,17,0
812,Hill Climbing,17,0
813,Hill Climbing,17,0
814,Hill Climbing,17,0
815,Hill Climbing,17,0
816,Hill Climbing,17,0
817,Hill Climbing,17,0
818,Hill Climbing,17,0
819,Hill Climbing,17,0
820,Hill Climbing,17,0
821,Hill Climbing,17,0
822,Hill Climbing,17,0
823,Hill Climbing,17,0
824,Hill Climbing,17,0
825,Hill Climbing,17,0
826,Hill Climbing,17,0
827,Hill Climbing,17,0
828,Hill Climbing,17,0
829,Hill Climbing,17,0
830,Hill Climbing,17,0
831,Hill Climbing,17,0
832,Hill Climbing,17,0
833,Hill Climbing,17,0
834,Hill Climbing,17,0
835,Hill Climbing,17,0
836,Hill Climbing,17,0
837,Hill Climbing,17,0
838,Hill Climbing,17,0
839,Hill Climbing,17,0
840,Hill Climbing,17,0
841,Hill Climbing,17,0
842,Hill Climbing,17,0
843,Hill Climbing,17,0
844,Hill Climbing,17,0
845,Hill Climbing,17,0
846,Hill Climbing,17,0
847,Hill Climbing,17,0
848,Hill Climbing,17,0
849,Hill Climbing,17,0
850,Hill Climbing,17,0
851,Hill Climbing,17,0
852,Hill Climbing,17,0
853,Hill Climbing,17,0
854,Hill Climbing,17,0
855,Hill Climbing,17,0
856,Hill Climbing,17,0
857,Hill Climbing,17,0
858,Hill Climbing,17,0
859,Hill Climbing,17,0
860,Hill Climbing,17,0
861,Hill Climbing,17,0
862,Hill Climbing,17,0
863,Hill Climbing,17,0
864,Hill Climbing,17,0
865,Hill Climbing,17,0
866,Hill Climbing,17,0
867,Hill Climbing,17,0
868,Hill Climbing,17,0
869,Hill Climbing,17,0
870,Hill Climbing,17,0
871,Hill Climbing,17,0
872,Hill Climbing,17,0
873,Hill Climbing,17,0
874,Hill Climbing,17,0
875,Hill Climbing,17,0
876,Hill Climbing,17,0
877,Hill Climbing,17,0
878,Hill Climbing,17,0
879,Hill Climbing,17,0
880,Hill Climbing,17,0
881,Hill Climbing,17,0
882,Hill Climbing,17,0
883,Hill Climbing,17,0
884,Hill Climbing,17,0
885,Hill Climbing,17,0
886,Hill Climbing,17,0
887,Hill Climbing,17,0
888,Hill Climbing,17,0
889,Hill Climbing,17,0
890,Hill Climbing,17,0
891,Hill Climbing,17,0
892,Hill Climbing,17,0
893,Hill Climbing,17,0
894,Hill Climbing,17,0
895,Hill Climbing,17,0
896,Hill Climbing,17,0
897,Hill Climbing,17,0
898,Hill Climbing,17,0
899,Hill Climbing,17,0
900,Hill Climbing,17,0
901,Hill Climbing,17,0
902,Hill Climbing,17,0
903,Hill Climbing,17,0
904,Hill Climbing,17,0
905,Hill Climbing,17,0
906,Hill Climbing,17,0
907,Hill Climbing,17,0
908,Hill Climbing,17,0
909,Hill Climbing,17,0
910,Hill Climbing,17,0
911,Hill Climbing,17,0
912,Hill Climbing,17,0
913,Hill Climbing,17,0
914,Hill Climbing,17,0
915,Hill Climbing,17,0
916,Hill Climbing,17,0
917,Hill Climbing,17,0
918,Hill Climbing,17,0
919,Hill Climbing,17,0
920,Hill Climbing,17,0
921,Hill Climbing,17,0
922,Hill Climbing,17,0
923,Hill Climbing,17,0
924,Hill Climbing,17,0
925,Hill Climbing,17,0
926,Hill Climbing,17,0
927,Hill Climbing,17,0
928,Hill Climbing,17,0
929,Hill Climbing,17,0
930,Hill Climbing,17,0
931,Hill Climbing,17,0
932,Hill Climbing,17,0
933,Hill Climbing,17,0
934,Hill Climbing,17,0
935,Hill Climbing,17,0
936,Hill Climbing,17,0
937,Hill Climbing,17,0
938,Hill Climbing,17,0
939,Hill Climbing,17,0
940,Hill Climbing,17,0
941,Hill Climbing,17,0
942,Hill Climbing,17,0
943,Hill Climbing,17,0
944,Hill Climbing,17,0
945,Hill Climbing,17,0
946,Hill Climbing,17,0
947,Hill Climbing,17,0
948,Hill Climbing,17,0
949,Hill Climbing,17,0
950,Hill Climbing,17,0
951,Hill Climbing,17,0
952,Hill Climbing,17,0
953,Hill Climbing,17,0
954,Hill Climbing,17,0
955,Hill Climbing,17,0
956,Hill Climbing,17,0
957,Hill Climbing,17,0
958,Hill Climbing,17,0
959,Hill Climbing,17,0
960,Hill Climbing,17,0
961,Hill Climbing,17,0
962,Hill Climbing,17,0
963,Hill Climbing,17,0
964,Hill Climbing,17,0
965,Hill Climbing,17,0
966,Hill Climbing,17,0
967,Hill Climbing,17,0
968,Hill Climbing,17,0
969,Hill Climbing,17,0
970,Hill Climbing,16,0
0,Tabu Search,25,8474
1,Tabu Search,25,8361
2,Tabu Search,25,8244
3,Tabu Search,25,8123
4,Tabu Search,25,8002
5,Tabu Search,25,7884
6,Tabu Search,25,7758
7,Tabu Search,25,7640
8,Tabu Search,25,7512
9,Tabu Search,25,7398
10,Tabu Search,25,7283
11,Tabu Search,26,7172
12,Tabu Search,26,7059
13,Tabu Search,26,6938
14,Tabu Search,26,6822
15,Tabu Search,27,6699
16,Tabu Search,27,6577
17,Tabu Search,27,6467
18,Tabu Search,27,6363
19,Tabu Search,27,6253
